,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
2630,,,None,,,Clear or Partly Cloudy,,,2016-11-03,3.0,,,10.0,47.72243757596257,Daylight,-122.34495559781926,11.0,,,,,,,Dry,,,10:12:00,"Legally Parked, Unoccupied",51.327777777777804,0.325,0.020833333333333332,2.228,51.96428571428572,93.23055555555555,0.10000000000000002,0.425,-3.36,91.64285714285714,0.010909090909090677,0.95,30.289117647058816,-0.0012499999999998994,30.284074074074073,53.394444444444446,0.4000000000000001,0.0,3.2160000000000006,54.43214285714286,12.5,12.5,1.8962962962962964,2.525,2.025195727722217,54.0,1139.0
2631,,,None,,,Clear or Partly Cloudy,,,2016-11-03,3.0,,,10.0,47.72243757596257,Daylight,-122.34495559781926,11.0,,,,,,,Dry,,,10:12:00,"Legally Parked, Unoccupied",51.327777777777804,0.325,0.020833333333333332,2.228,51.96428571428572,93.23055555555555,0.10000000000000002,0.425,-3.36,91.64285714285714,0.010909090909090677,0.95,30.289117647058816,-0.0012499999999998994,30.284074074074073,53.394444444444446,0.4000000000000001,0.0,3.2160000000000006,54.43214285714286,12.5,12.5,1.8962962962962964,2.525,2.025195727722217,54.0,1139.0
2632,,,None,,,Clear or Partly Cloudy,,,2016-11-03,3.0,,,10.0,47.72243757596257,Daylight,-122.34495559781926,11.0,,,,,,,Dry,,,10:12:00,"Legally Parked, Unoccupied",51.327777777777804,0.325,0.020833333333333332,2.228,51.96428571428572,93.23055555555555,0.10000000000000002,0.425,-3.36,91.64285714285714,0.010909090909090677,0.95,30.289117647058816,-0.0012499999999998994,30.284074074074073,53.394444444444446,0.4000000000000001,0.0,3.2160000000000006,54.43214285714286,12.5,12.5,1.8962962962962964,2.525,2.025195727722217,54.0,1139.0
2633,Not Deployed,,Did Not Grant RW to Vehicle,,,Raining,,,2016-10-30,6.0,No Injury,Lap & Shoulder Used,20.0,47.662845003386295,Dark-Street Lights On,-122.34475685862287,10.0,,,,,30.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,20:19:00,Merging (Entering Traffic),47.86666666666666,0.026229508196721315,0.019672131147540982,-0.016393442622951285,47.890625,92.07878787878788,0.05901639344262297,0.019672131147540982,0.26229508196721313,92.171875,0.0799999999999983,0.07,29.55075757575755,0.00557377049180316,29.553593749999973,50.42575757575757,0.00819672131147541,0.011475409836065573,-0.08196721311475409,50.425000000000004,11.0,11.0,0.41176470588235287,0.1326530612244898,1.8883239251280648,93.0,1140.0
2634,Not Deployed,,None,,,Raining,,,2016-10-30,6.0,Possible Injury,Lap & Shoulder Used,20.0,47.662845003386295,Dark-Street Lights On,-122.34475685862287,10.0,,,,,30.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,20:19:00,Going Straight Ahead,47.86666666666666,0.026229508196721315,0.019672131147540982,-0.016393442622951285,47.890625,92.07878787878788,0.05901639344262297,0.019672131147540982,0.26229508196721313,92.171875,0.0799999999999983,0.07,29.55075757575755,0.00557377049180316,29.553593749999973,50.42575757575757,0.00819672131147541,0.011475409836065573,-0.08196721311475409,50.425000000000004,11.0,11.0,0.41176470588235287,0.1326530612244898,1.8883239251280648,93.0,1140.0
2635,Not Deployed,,Exceeding Reas. Safe Speed,,,Raining,,,2016-10-26,2.0,No Injury,Lap & Shoulder Used,23.0,47.45066075572673,Dark-Street Lights On,-122.30006283485899,10.0,,,,,40.0,Curve & Grade,Wet,Blacktop,Had NOT Been Drinking,23:14:00,Overtaking and Passing,54.00833333333333,0.037500000000000006,0.15000000000000002,-0.7875000000000005,53.650000000000006,95.50833333333333,0.0625,0.16249999999999998,-0.75,95.16666666666667,0.03214285714285646,0.07,29.87416666666667,0.012499999999999734,29.878333333333334,55.076923076923066,0.0,0.09999999999999999,-0.5749999999999993,54.81538461538462,17.0,17.0,4.7875,4.7,2.197452377358929,19.0,1141.0
2636,Not Deployed,,,,,Overcast,,,2016-10-25,1.0,No Injury,Unknown,16.0,47.412332581708775,Daylight,-122.2643991089088,10.0,,,,,35.0,Straight & Level,Wet,Blacktop,Unknown,16:56:00,Going Straight Ahead,47.18,0.20000000000000004,0.20000000000000004,0.16666666666666666,47.36,58.42,0.5333333333333333,0.2333333333333333,3.3333333333333335,60.8,0.0,0.0,30.110000000000003,0.00333333333333267,30.112000000000002,61.94000000000001,0.0,0.13333333333333333,-1.6000000000000014,61.080000000000005,14.0,10.0,2.8999999999999995,2.575,1.8996683280966726,9.0,1142.0
2637,Not Deployed,,,,,Overcast,,,2016-10-25,1.0,No Injury,Unknown,16.0,47.412332581708775,Daylight,-122.2643991089088,10.0,,,,,35.0,Straight & Level,Wet,Blacktop,Unknown,16:56:00,Overtaking and Passing,47.18,0.20000000000000004,0.20000000000000004,0.16666666666666666,47.36,58.42,0.5333333333333333,0.2333333333333333,3.3333333333333335,60.8,0.0,0.0,30.110000000000003,0.00333333333333267,30.112000000000002,61.94000000000001,0.0,0.13333333333333333,-1.6000000000000014,61.080000000000005,14.0,10.0,2.8999999999999995,2.575,1.8996683280966726,9.0,1142.0
2638,Not Deployed,,Disregard Yield Sign - Flashing Yellow,,,Raining,,,2016-11-05,5.0,No Injury,Lap & Shoulder Used,11.0,47.564662964848026,Daylight,-122.38154408588188,11.0,No Injury,No Restraints Used,,,30.0,Straight & Hillcrest,Wet,Blacktop,Had NOT Been Drinking,11:52:00,Going Straight Ahead,53.378947368421045,0.05384615384615384,0.015384615384615385,0.23846153846153967,53.42631578947369,92.12105263157896,0.03076923076923077,0.15384615384615383,-1.1538461538461537,91.47368421052632,0.05454545454546307,0.08,29.86684210526316,0.006923076923076092,29.871052631578944,55.83157894736842,0.06923076923076922,0.0,0.5999999999999981,56.0578947368421,15.0,15.0,3.8529411764705883,5.541176470588235,1.4466901439374107,31.0,1143.0
2639,Not Deployed,,Disregard Yield Sign - Flashing Yellow,,,Raining,,,2016-11-05,5.0,No Injury,Lap & Shoulder Used,11.0,47.564662964848026,Daylight,-122.38154408588188,11.0,Possible Injury,Child Infant Seat Used,,,30.0,Straight & Hillcrest,Wet,Blacktop,Had NOT Been Drinking,11:52:00,Going Straight Ahead,53.378947368421045,0.05384615384615384,0.015384615384615385,0.23846153846153967,53.42631578947369,92.12105263157896,0.03076923076923077,0.15384615384615383,-1.1538461538461537,91.47368421052632,0.05454545454546307,0.08,29.86684210526316,0.006923076923076092,29.871052631578944,55.83157894736842,0.06923076923076922,0.0,0.5999999999999981,56.0578947368421,15.0,15.0,3.8529411764705883,5.541176470588235,1.4466901439374107,31.0,1143.0
